Data/Fecha/Date,0810104001 - L'HOSPITALET LLOBR.
2021-06-01,9.393103448275864
2021-06-02,10.395402298850575
2021-06-03,9.533333333333331
2021-06-04,9.573394495412844
2021-06-05,10.4197247706422
2021-06-06,10.623853211009177
2021-06-07,9.387614678899082
2021-06-08,9.623853211009177
2021-06-09,9.63302752293578
2021-06-10,9.54816513761468
2021-06-11,9.672018348623851
2021-06-12,9.86697247706422
2021-06-13,10.158256880733944
2021-06-14,9.662844036697248
2021-06-15,9.86697247706422
2021-06-16,9.55275229357798
2021-06-17,9.378440366972477
2021-06-18,9.208715596330276
2021-06-19,10.011467889908255
2021-06-20,10.431192660550458
2021-06-21,9.277522935779816
2021-06-22,9.55275229357798
2021-06-23,8.495412844036696
2021-06-24,9.13302752293578
2021-06-25,8.610091743119266
2021-06-26,9.11697247706422
2021-06-27,9.763761467889909
2021-06-28,8.839449541284404
2021-06-29,9.275229357798166
2021-06-30,8.940366972477063
2021-07-01,9.688073394495412
2021-07-02,8.988532110091743
2021-07-03,10.126146788990823
2021-07-04,9.779816513761467
2021-07-05,9.01605504587156
2021-07-06,9.40137614678899
2021-07-07,8.862385321100918
2021-07-08,8.995412844036696
2021-07-09,8.727064220183486
2021-07-10,8.928899082568808
2021-07-11,9.190366972477063
2021-07-12,8.878440366972477
2021-07-13,8.73165137614679
2021-07-14,8.509174311926605
2021-07-15,8.75
2021-07-16,8.410550458715596
2021-07-17,8.919724770642201
2021-07-18,9.511467889908255
2021-07-19,8.506880733944953
2021-07-20,9.038990825688073
2021-07-21,8.63302752293578
2021-07-22,9.153669724770642
2021-07-23,8.465596330275229
2021-07-24,9.245412844036696
2021-07-25,9.369266055045872
2021-07-26,8.045871559633028
2021-07-27,8.912844036697248
2021-07-28,8.880733944954128
2021-07-29,8.811926605504587
2021-07-30,8.38302752293578
2021-07-31,8.8348623853211
2021-08-01,9.176605504587156
2021-08-02,8.135321100917432
2021-08-03,8.252293577981652
2021-08-04,8.417431192660551
2021-08-05,8.256880733944953
2021-08-06,8.009174311926605
2021-08-07,8.621559633027523
2021-08-08,8.490825688073395
2021-08-09,7.555045871559633
2021-08-10,7.534403669724771
2021-08-11,7.33256880733945
2021-08-12,7.518348623853211
2021-08-13,7.715596330275229
2021-08-14,8.144495412844037
2021-08-15,8.26834862385321
2021-08-16,7.864678899082569
2021-08-17,7.729357798165138
2021-08-18,7.506880733944954
2021-08-19,7.419724770642202
2021-08-20,7.947247706422019
2021-08-21,8.28211009174312
2021-08-22,8.325688073394495
2021-08-23,7.509174311926605
2021-08-24,7.454128440366972
2021-08-25,7.708715596330276
2021-08-26,7.848623853211009
2021-08-27,7.80045871559633
2021-08-28,8.149082568807339
2021-08-29,8.892201834862385
2021-08-30,8.243119266055047
2021-08-31,8.988532110091743
2021-09-01,8.488532110091743
2021-09-02,8.642201834862385
2021-09-03,8.704128440366972
2021-09-04,9.14908256880734
2021-09-05,9.972477064220184
2021-09-06,9.346330275229358
2021-09-07,9.3348623853211
2021-09-08,9.126146788990823
2021-09-09,9.215596330275227
2021-09-10,8.788990825688073
2021-09-11,9.779816513761467
2021-09-12,9.720183486238533
2021-09-13,9.474770642201834
2021-09-14,9.573394495412844
2021-09-15,9.536697247706424
2021-09-16,8.860091743119266
2021-09-17,8.708715596330276
2021-09-18,9.107798165137616
2021-09-19,10.403669724770642
2021-09-20,9.011467889908255
2021-09-21,8.61697247706422
2021-09-22,9.327981651376149
2021-09-23,8.871559633027523
2021-09-24,9.573394495412844
2021-09-25,9.681192660550458
2021-09-26,9.931192660550458
2021-09-27,9.444954128440369
2021-09-28,9.520642201834862
2021-09-29,9.396788990825687
2021-09-30,9.091743119266056
2021-10-01,9.307339449541283
2021-10-02,10.309633027522937
2021-10-03,10.527522935779816
2021-10-04,8.802752293577981
2021-10-05,9.458715596330276
2021-10-06,9.6651376146789
2021-10-07,9.387614678899082
2021-10-08,9.094036697247706
2021-10-09,10.277522935779816
2021-10-10,10.038990825688073
2021-10-11,9.192660550458717
2021-10-12,10.14908256880734
2021-10-13,9.162844036697248
2021-10-14,9.252293577981652
2021-10-15,9.105504587155965
2021-10-16,9.784403669724773
2021-10-17,10.538990825688073
2021-10-18,9.279816513761467
2021-10-19,9.46788990825688
2021-10-20,9.529680365296803
2021-10-21,9.246575342465754
2021-10-22,9.034246575342468
2021-10-23,10.251141552511417
2021-10-24,10.552511415525114
2021-10-25,9.577625570776256
2021-10-26,9.267123287671232
2021-10-27,9.200913242009133
2021-10-28,9.091324200913242
2021-10-29,8.986301369863014
2021-10-30,9.780821917808218
2021-10-31,10.643835616438356
2021-11-01,10.091324200913242
2021-11-02,9.17579908675799
2021-11-03,9.502283105022832
2021-11-04,9.333333333333334
2021-11-05,9.34703196347032
2021-11-06,10.26027397260274
2021-11-07,10.595890410958903
2021-11-08,9.420091324200913
2021-11-09,9.45662100456621
2021-11-10,8.945205479452055
2021-11-11,9.34703196347032
2021-11-12,9.278538812785389
2021-11-13,10.21461187214612
2021-11-14,10.67123287671233
2021-11-15,9.23972602739726
2021-11-16,9.116438356164384
2021-11-17,9.518264840182647
2021-11-18,9.625570776255708
2021-11-19,9.319634703196346
2021-11-20,9.920091324200913
2021-11-21,9.93607305936073
2021-11-22,9.19406392694064
2021-11-23,8.470319634703197
2021-11-24,8.700913242009133
2021-11-25,8.947488584474886
2021-11-26,9.17351598173516
2021-11-27,9.67579908675799
2021-11-28,9.986301369863014
2021-11-29,8.922374429223744
2021-11-30,9.376712328767123
2021-12-01,8.931506849315069
