Data/Fecha/Date,0801910058 - BARCELONA
2021-06-01,29.132394366197182
2021-06-02,32.4112676056338
2021-06-03,32.03380281690141
2021-06-04,31.14929577464789
2021-06-05,35.0
2021-06-06,35.74366197183099
2021-06-07,32.93802816901408
2021-06-08,30.028169014084508
2021-06-09,32.774647887323944
2021-06-10,32.49577464788732
2021-06-11,31.323943661971832
2021-06-12,34.4
2021-06-13,34.02535211267605
2021-06-14,33.00281690140845
2021-06-15,31.574647887323945
2021-06-16,32.51549295774648
2021-06-17,33.76056338028169
2021-06-18,33.583098591549295
2021-06-19,33.84507042253521
2021-06-20,33.86760563380282
2021-06-21,30.864788732394366
2021-06-22,32.48732394366197
2021-06-23,33.23943661971831
2021-06-24,28.97814207650273
2021-06-25,31.48087431693989
2021-06-26,33.46448087431694
2021-06-27,34.978142076502735
2021-06-28,33.0655737704918
2021-06-29,30.849726775956285
2021-06-30,31.172131147540984
2021-07-01,33.721311475409834
2021-07-02,31.55191256830601
2021-07-03,35.67828418230563
2021-07-04,35.98927613941019
2021-07-05,30.87131367292225
2021-07-06,30.74798927613941
2021-07-07,28.26809651474531
2021-07-08,28.924932975871315
2021-07-09,29.38235294117647
2021-07-10,35.20855614973262
2021-07-11,36.67112299465241
2021-07-12,30.43048128342246
2021-07-13,33.532085561497325
2021-07-14,31.554089709762533
2021-07-15,33.52770448548813
2021-07-16,29.70976253298153
2021-07-17,30.36147757255937
2021-07-18,31.28496042216359
2021-07-19,28.12664907651715
2021-07-20,31.32981530343008
2021-07-21,27.432717678100264
2021-07-22,28.065963060686016
2021-07-23,29.98944591029024
2021-07-24,28.19525065963061
2021-07-25,30.59630606860158
2021-07-26,28.91820580474934
2021-07-27,32.76253298153034
2021-07-28,33.25065963060686
2021-07-29,33.98416886543536
2021-07-30,32.9023746701847
2021-07-31,30.905013192612135
2021-08-01,33.07387862796834
2021-08-02,31.203166226912927
2021-08-03,31.72559366754617
2021-08-04,32.0
2021-08-05,34.70976253298153
2021-08-06,31.95778364116095
2021-08-07,27.05540897097625
2021-08-08,31.58311345646438
2021-08-09,27.58839050131926
2021-08-10,30.56200527704485
2021-08-11,29.35092348284961
2021-08-12,33.20052770448549
2021-08-13,31.24802110817942
2021-08-14,32.812664907651715
2021-08-15,33.857519788918204
2021-08-16,28.018469656992085
2021-08-17,24.49604221635884
2021-08-18,26.852242744063325
2021-08-19,30.261213720316626
2021-08-20,29.82058047493404
2021-08-21,33.32717678100264
2021-08-22,31.22163588390501
2021-08-23,25.19525065963061
2021-08-24,25.14511873350924
2021-08-25,27.37730870712401
2021-08-26,30.07915567282322
2021-08-27,30.799472295514512
2021-08-28,31.99472295514512
2021-08-29,28.74406332453826
2021-08-30,26.12664907651715
2021-08-31,29.16358839050132
2021-09-01,27.575197889182057
2021-09-02,29.48548812664908
2021-09-03,27.970976253298154
2021-09-04,29.12928759894459
2021-09-05,33.51187335092348
2021-09-06,30.29736842105263
2021-09-07,28.16842105263158
2021-09-08,29.905263157894737
2021-09-09,30.544736842105262
2021-09-10,29.31578947368421
2021-09-11,31.37368421052632
2021-09-12,30.923684210526314
2021-09-13,30.00526315789474
2021-09-14,30.860526315789475
2021-09-15,28.57631578947369
2021-09-16,35.73157894736842
2021-09-17,29.41315789473684
2021-09-18,30.39210526315789
2021-09-19,32.73421052631579
2021-09-20,26.87368421052632
2021-09-21,27.594736842105263
2021-09-22,27.38157894736842
2021-09-23,26.621052631578948
2021-09-24,30.257894736842104
2021-09-25,30.147368421052636
2021-09-26,32.29736842105263
2021-09-27,28.857894736842105
2021-09-28,28.99473684210526
2021-09-29,28.157894736842103
2021-09-30,27.91315789473684
2021-10-01,28.157894736842103
2021-10-02,31.16315789473684
2021-10-03,31.53421052631579
2021-10-04,25.83157894736842
2021-10-05,29.905263157894737
2021-10-06,31.1
2021-10-07,31.13421052631579
2021-10-08,28.844736842105263
2021-10-09,33.10263157894737
2021-10-10,29.27368421052632
2021-10-11,27.42105263157895
2021-10-12,33.141752577319586
2021-10-13,29.11855670103093
2021-10-14,30.54123711340206
2021-10-15,27.914948453608247
2021-10-16,30.09278350515464
2021-10-17,32.5360824742268
2021-10-18,29.716494845360824
2021-10-19,29.09278350515464
2021-10-20,24.02577319587629
2021-10-21,29.837628865979383
2021-10-22,30.18041237113402
2021-10-23,31.97680412371134
2021-10-24,34.170103092783506
2021-10-25,30.948453608247423
2021-10-26,29.75515463917526
2021-10-27,30.25257731958763
2021-10-28,29.8659793814433
2021-10-29,29.469072164948454
2021-10-30,29.548969072164947
2021-10-31,33.74226804123711
2021-11-01,32.7860824742268
2021-11-02,29.86340206185567
2021-11-03,29.572164948453608
2021-11-04,31.29381443298969
2021-11-05,30.34020618556701
2021-11-06,34.27319587628866
2021-11-07,32.68814432989691
2021-11-08,31.690721649484537
2021-11-09,30.033505154639176
2021-11-10,29.891752577319583
2021-11-11,28.6340206185567
2021-11-12,29.61855670103093
2021-11-13,31.75515463917526
2021-11-14,31.067010309278352
2021-11-15,29.461340206185568
2021-11-16,28.682989690721648
2021-11-17,30.0979381443299
2021-11-18,30.103092783505154
2021-11-19,28.538659793814432
2021-11-20,40.72938144329897
2021-11-21,32.621134020618555
2021-11-22,30.448453608247423
2021-11-23,30.466494845360824
2021-11-24,29.24484536082474
2021-11-25,30.600515463917525
2021-11-26,30.873711340206185
2021-11-27,31.47680412371134
2021-11-28,34.23969072164948
2021-11-29,31.81443298969072
2021-11-30,30.34020618556701
2021-12-01,28.6520618556701
2021-12-02,28.47680412371134
2021-12-03,29.50257731958763
